Membership No  Date Joined  Active  
    82532      2019-4-12    no    
    28792      2018-4-10    no    
    58806      2017-8-22    no    
    71777      2018-2-18    no    
    14731      2017-10-17   no    
    33705      2015-8-1     no    
    78015      2020-11-23   no    
    77547      2020-8-2     no    
    46357      2016-4-13    no    
    24524      2015-10-24   no    
    84570      2015-7-4     no    
    59768      2018-6-25    no    
    89968      2017-8-20    no    
    21859      2019-5-13    no    
    49147      2019-12-2    no    
